geografia,grupo_geografico,indicador,unidade,periodo,valor,destaque_ceara,fonte
Ceará,Estados do Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,7622.0,True,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Ceará,Estados do Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,21.3,True,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Ceará,Estados do Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2158.0,True,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Ceará,Estados do Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,7871.0,True,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Taxa de desocupação,%,out-nov-dez/2024,8.5,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Nível da ocupação,%,out-nov-dez/2024,49.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,53.6,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,1462.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Desocupadas,Mil pessoas,out-nov-dez/2024,137.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,2985.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,20.1,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2594.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Rio Grande do Norte,Estados do Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,3773.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Paraíba,Estados do Nordeste,Taxa de desocupação,%,out-nov-dez/2024,8.4,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Paraíba,Estados do Nordeste,Nível da ocupação,%,out-nov-dez/2024,50.5,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Paraíba,Estados do Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,55.1,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
