geografia,nome_curto,uf,tipo,grupo_geografico,indicador,unidade,periodo,valor,valor_ano_anterior,destaque_ceara,fonte
Município de Maceió (AL),Maceió,AL,capital,Capital,Taxa de desocupação,%,jan-fev-mar/2026,7.7,7.9,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Maceió (AL),RM Maceió,AL,rm,Região metropolitana,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3086.0,3027.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Maceió (AL),RM Maceió,AL,rm,Região metropolitana,Taxa de desocupação,%,jan-fev-mar/2026,7.9,8.2,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Aracaju (SE),Aracaju,SE,capital,Capital,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,4747.0,4080.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Aracaju (SE),Aracaju,SE,capital,Capital,Taxa de desocupação,%,jan-fev-mar/2026,7.9,9.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Aracaju (SE),RM Aracaju,SE,rm,Região metropolitana,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,4157.0,3467.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Aracaju (SE),RM Aracaju,SE,rm,Região metropolitana,Taxa de desocupação,%,jan-fev-mar/2026,8.9,9.7,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Salvador (BA),Salvador,BA,capital,Capital,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3568.0,3127.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Salvador (BA),Salvador,BA,capital,Capital,Taxa de desocupação,%,jan-fev-mar/2026,10.2,9.3,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Salvador (BA),RM Salvador,BA,rm,Região metropolitana,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3313.0,2997.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Salvador (BA),RM Salvador,BA,rm,Região metropolitana,Taxa de desocupação,%,jan-fev-mar/2026,11.2,9.9,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
